Site,Latitude,Longitude,Date,Air Temperature (CÂ°),Air Temperature Uncertainty (CÂ°),Wind Direction at 3m (Â°N),Wind Direction at 3m Uncertainty (Â°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv)),GHI(Computed)
Al Uwayqilah,30.327166,42.253735,1/4/2021 0:00,24.9,0.5,311,4,3.9,0.1,2.3,2557.729545,2497.5,226,1053.4,6127,546.7,2366.7,6817.4,430.3,526.5,24.8,0.1,19.4,3,963.8,4.8,2473.080859
Al Uwayqilah,30.327166,42.253735,1/10/2021 0:00,26.6,0.5,70,4,3.2,0.1,1.7,2557.729545,1705,443.6,460.8,5423.6,1310.7,1277.8,4938.5,1012.5,382.6,12.5,0.1,22.2,3,963.8,4.8,2220.048997
Al Uwayqilah,30.327166,42.253735,1/11/2021 0:00,17.9,0.5,334,4,3.1,0.1,1.6,2557.729545,1358.3,442.8,550.8,4998.1,1483.9,2109.7,3868.8,880.4,545.5,13.3,0.1,37.7,3,967.4,4.9,2070.304381
Al Uwayqilah,30.327166,42.253735,1/12/2021 0:00,12.7,0.5,249,4,2.9,0.1,1.8,2557.729545,1420,407.6,504.1,3801.5,1324,2196.2,3175.3,716.2,568.7,13.1,0.1,47.4,3,968.6,4.9,1646.439477
Arar - TVTC,31.027395,40.906419,1/1/2017 0:00,8.1,0.5,349,4,2.8,0.1,2.4,2557.729545,1302.8,356.8,498.1,4734.2,1373.1,2294.8,3512.9,825.9,707.3,17.9,0.1,50.1,3,952.2,4.8,1973.216806
Arar - TVTC,31.027395,40.906419,1/2/2017 0:00,9,0.5,11,4,3.4,0.1,2.4,2557.729545,1425.7,420.9,509.8,5677.6,1733.4,1666.4,4507.6,1079.2,426.5,17.1,0.1,27.3,3,952.7,4.8,2304.970614
Arar - TVTC,31.027395,40.906419,1/3/2017 0:00,16.2,0.5,45,4,4.1,0.1,2.6,2557.729545,2247,657.8,956.2,5276.1,1633.1,2776.6,5568.1,1210.8,1091.4,22.9,0.1,41.1,3,946.8,4.8,2167.8202
Arar - TVTC,31.027395,40.906419,1/4/2017 0:00,21.7,0.5,29,4,4,0.1,2.2,2557.729545,2775.9,787.5,969.9,4632.1,1725.8,2930.5,6069.7,1403.2,1337,21.3,0.1,26,3,947.9,4.8,1938.743308
Arar - TVTC,31.027395,40.906419,1/5/2017 0:00,28.4,0.5,304,4,4.1,0.1,2.1,2557.729545,2414.8,791.8,793.5,6512.4,1706.9,2049.9,7301,1493.9,494.9,24.2,0.1,15.7,3,944.8,4.7,2604.144124
Arar - TVTC,31.027395,40.906419,1/6/2017 0:00,32.7,0.5,311,4,3.6,0.1,1.9,2557.729545,2103.821875,394.7862069,753.3756466,5305.225564,969.9230934,1907.256391,5670.223118,831.2711828,624.7848387,15.2,0.1,12.2,3,942.2,4.8,2172.187338
Arar - TVTC,31.027395,40.906419,1/11/2017 0:00,16.7,0.5,55,4,3.3,0.1,2,2557.729545,1737.8,651,693,4327.1,1413.1,2157,3901.3,854.6,544.2,20.5,0.1,40.2,3,950.5,4.8,1828.740265
Arar - TVTC,31.027395,40.906419,1/3/2018 0:00,20.6,0.5,286,4,3.6,0.1,2.3,2557.729545,2377.8,112.1,929.2,5717.1,222.7,2399.1,6026.1,190.1,606.2,17.6,0.1,23.7,3,947.5,4.8,2322.409547
Arar - TVTC,31.027395,40.906419,1/4/2018 0:00,22,0.5,341,4,3.9,0.1,2.5,2557.729545,2498.6,133.8,994.2,6174.8,277.7,2998.3,6818.8,221.4,1217.7,24.2,0.1,27.2,3,945,4.7,2486.044804
Arar - TVTC,31.027395,40.906419,1/5/2018 0:00,27.3,0.5,351,4,4.3,0.1,2.6,2557.729545,2895.7,135.6,1134.4,5711.9,267.7,3282.2,7092.7,220.3,1573.8,24.5,0.1,25.5,3,944,4.7,2323.060754
Arar - TVTC,31.027395,40.906419,1/6/2018 0:00,32,0.5,324,4,4.5,0.1,2.1,2557.729545,2239,86.5,637.3,8282.5,279,1489.6,8380.7,243.4,360.1,17.1,0.1,15.4,3,941.4,4.7,3232.784094
Arar - TVTC,31.027395,40.906419,1/7/2018 0:00,33.6,0.5,307,3.7,4.4,0.1,2,2557.729545,1892.3,76.8,548.3,8928.8,277.7,1068.2,8347.3,261.7,180,16.3,0.1,15,3,939,4.7,3460.714319
Arar - TVTC,31.027395,40.906419,1/8/2018 0:00,33.2,0.5,303,4.2,3.9,0.1,1.8,2557.729545,1359.3,80.1,327.8,9382.7,436.7,945.3,7877.4,389.8,341.3,17.6,0.1,17,3.2,940.1,5,3620.595909
Arar - TVTC,31.027395,40.906419,1/11/2018 0:00,14.7,0.5,88,4,2.6,0.1,2,2557.729545,1513.2,58.9,527.1,3155,180.3,2446.9,3071.3,110.9,1086.1,17.9,0.1,75,3,950.6,4.8,1417.709336
Arar - TVTC,31.027395,40.906419,1/12/2018 0:00,11.7,0.5,261,4,2.7,0.1,2.1,2557.729545,1226.3,44.9,525.9,4918.7,201.9,2589.2,3390,98.4,631.4,17.1,0.1,66.5,3,951.8,4.8,2042.336494
Arar - TVTC,31.027395,40.906419,1/1/2019 0:00,9.2,0.5,241,4,3.7,0.1,2.9,2557.729545,1518.7,51.4,468.2,4083.5,194.4,2361.6,3484.3,109.9,927.6,23.7,0.1,55.5,3,950.5,4.8,1743.388614
Arar - TVTC,31.027395,40.906419,1/2/2019 0:00,11.2,0.5,321,4,3.2,0.1,2.5,2557.729545,1491,64.2,606.9,6024.6,240.1,2310.5,4767.2,138.7,788,18.4,0.1,54.4,3,950.6,4.8,2434.146077
Arar - TVTC,31.027395,40.906419,1/3/2019 0:00,14.4,0.5,301,4,4.3,0.1,2.8,2557.729545,1759.4,87.9,839.5,6874,252,2720.5,5977.9,180.7,990.7,23.5,0.1,38.3,3,947.3,4.8,2733.712906
Arar - TVTC,31.027395,40.906419,1/4/2019 0:00,19.4,0.5,335,4,3.8,0.1,2.7,2557.729545,2353.1,612.7,847,6130.7,1334.5,2338.2,6677.9,1185.5,876.7,21,0.1,33.3,3,946.8,4.8,2471.185471
Arar - TVTC,31.027395,40.906419,1/5/2019 0:00,29.5,0.5,24,4,4.1,0.1,2.4,2557.729545,2436.9,664.6,682,6413.1,1878.3,1896.7,7228.4,1525.2,679.1,21.3,0.1,13.8,3,944.8,4.7,2568.635156
Arar - TVTC,31.027395,40.906419,1/6/2019 0:00,33.8,0.5,324,4,4.4,0.1,2.5,2557.729545,2142.5,735.3,753,7696.6,1868.1,1814.3,7792.8,1590.2,546.6,23.5,0.1,13,3,941.8,4.7,3023.664816
Arar - TVTC,31.027395,40.906419,1/7/2019 0:00,33.9,0.5,315,4,4,0.1,1.9,2557.729545,1512.2,107.9,498.3,9517,718.7,1194.6,8295.1,625.2,362.2,16.5,0.1,13,3,939.1,4.7,3668.025174
Arar - TVTC,31.027395,40.906419,1/8/2019 0:00,34.2,0.5,295,4,4.6,0.1,2.1,2557.729545,1847.9,79.9,536.4,7884,387.4,1379.7,7449.2,351.4,415.8,17.9,0.1,14.7,3,939.9,4.7,3088.941895
Arar - TVTC,31.027395,40.906419,1/9/2019 0:00,31.8,0.5,11,4,3.5,0.1,1.8,2557.729545,1730.1,56.9,393.2,7316.8,250.9,1164.5,6579.7,197.7,412.2,12.8,0.1,16,3,943.2,4.7,2887.447863
Arar - TVTC,31.027395,40.906419,1/10/2019 0:00,25.9,0.5,35,4.1,3.3,0.1,2.2,2557.729545,1919.6,79.1,544.2,4585.6,224.1,2040.2,4677.5,183.5,943.1,20.8,0.1,33.3,3.2,947.2,5,1920.285436
Arar - TVTC,31.027395,40.906419,1/11/2019 0:00,16.3,0.5,57,4,3.3,0.1,2.2,2557.729545,1386.6,53.4,458.3,5025,233.3,2273.9,3861.5,124.5,736.2,13.1,0.1,42.8,3,950.9,4.8,2076.197982
Arar - TVTC,31.027395,40.906419,1/12/2019 0:00,11.3,0.5,298,4,2.7,0.1,2.3,2557.729545,1018.9,40.3,383,5810.8,220.3,2081.4,3586.5,113.7,526,19.7,0.1,52.7,3,950.5,4.8,2355.598052
Arar - TVTC,31.027395,40.906419,1/12/2020 0:00,11.1,0.5,111,3.7,2.2,0.1,2.1,2557.729545,1135.5,276.9,361.1,4234.8,1311.9,2436.8,3033.7,715,1034.1,13.1,0.1,60.2,3,952.3,4.7,1797.263416
Arar - TVTC,31.027395,40.906419,1/1/2021 0:00,10.3,0.5,300,3.7,2.6,0.1,2.5,2557.729545,1205,340.5,486.5,5599.4,1568.7,2450.3,3818,870.9,752.3,17.6,0.1,45,3,952.5,4.7,2279.99347
Arar - TVTC,31.027395,40.906419,1/2/2021 0:00,12.8,0.5,41,3.7,4,0.1,2.6,2557.729545,1431.8,536,711.6,5623.1,1678.9,3013.7,4494.1,1100,1366.9,17.3,0.1,47.6,3,950.9,4.7,2289.856161
Arar - TVTC,31.027395,40.906419,1/3/2021 0:00,17.6,0.5,288,4,3.9,0.1,3,2557.729545,2035,663.4,962.9,6328.9,1845.9,2953.5,6031.2,1355.5,1101.1,28.5,0.1,26.8,3,947.7,4.8,2538.993568
Arar - TVTC,31.027395,40.906419,1/4/2021 0:00,23.8,0.5,325,3.7,3.5,0.1,2.5,2557.729545,2373.1,798.3,1147.2,6738.1,1915.1,2931,7221.9,1489,787,24.8,0.1,16.2,3,947.8,4.7,2684.663941
Arar - TVTC,31.027395,40.906419,1/5/2021 0:00,30.2,0.5,323,4,3.8,0.1,2.4,2557.729545,2280.7,379.7,887.3,7801.8,1483.1,2455.1,7981.5,1351.8,867.8,22.4,0.1,11.4,3,943.1,4.7,3061.285175
Arar - TVTC,31.027395,40.906419,1/7/2021 0:00,35.7,0.5,320,3.7,4.1,0.1,2.1,2557.729545,1694.9,412.9,414.9,9161.6,1947.7,1157.9,8315.8,1637.2,329.1,14.1,0.1,12.6,2.9,938.1,4.7,3542.194881
Arar - TVTC,31.027395,40.906419,1/8/2021 0:00,35,0.5,302,3.7,3.4,0.1,2,2557.729545,2103.821875,394.7862069,753.3756466,5305.225564,969.9230934,1907.256391,5670.223118,831.2711828,624.7848387,16,0.1,11.5,3,940.3,4.7,2171.780796
Arar - TVTC,31.027395,40.906419,1/9/2021 0:00,30.3,0.5,329,3.7,2.6,0.1,2.1,2557.729545,1476.5,418.6,445.2,7933.3,1770.1,956.8,6632.8,1396.9,298.7,14.9,0.1,17.3,3,943.7,4.7,3105.96217
Arar - TVTC,31.027395,40.906419,1/10/2021 0:00,25.3,0.5,79,4,2.5,0.1,2.6,2557.729545,1552.1,69.7,427.3,6211.4,293.4,1354.9,5192.8,230.2,492,13.3,0.1,19.4,3,947.9,4.8,2494.477109
Arar - TVTC,31.027395,40.906419,1/11/2021 0:00,17.2,0.5,55,4,1.7,0.1,2.1,2557.729545,1242.6,58.3,469.1,5412.9,270.1,2394.1,3895.1,155.7,805.9,14.9,0.1,35.3,3,950.9,4.8,2212.117246
Arar - TVTC,31.027395,40.906419,1/12/2021 0:00,11.6,0.5,283,4,2.3,0.1,2.4,2557.729545,1379,80.1,545.8,4174.4,256.6,2381.3,3266.2,132.1,549.3,17.6,0.1,43.8,3,951.7,4.8,1773.267837
Hail - TVTC,27.65261,41.70826,1/1/2017 0:00,12.2,0.5,173,4,3.4,0.1,1.8,2557.729545,1329.8,353,441.4,5620.2,1430.9,2059.2,4169.5,903.2,625.1,14.4,0.1,35.6,3,912.4,4.6,2274.822768
Hail - TVTC,27.65261,41.70826,1/2/2017 0:00,10.8,0.5,164,4,3.5,0.1,1.7,2557.729545,1599.7,467.2,614.3,6100.3,1698.9,2315.3,5086.2,1104.5,890.5,14.7,0.1,28.4,3,912.7,4.6,2445.270607
Hail - TVTC,27.65261,41.70826,1/3/2017 0:00,18.1,0.5,204,4,3.8,0.1,2.2,2557.729545,2366.2,651.4,805.7,4584.1,1502.2,2325.4,5446.5,1198.4,808.5,17.1,0.1,28.3,3,908.3,4.6,1908.650715
Hail - TVTC,27.65261,41.70826,1/4/2017 0:00,23.9,0.5,175,4,4,0.1,2.2,2557.729545,2984.1,793.9,778.6,3896.2,1507.5,2222.2,5863.9,1416.4,930.5,19.5,0.1,20.2,3,909.6,4.6,1665.917276
Hail - TVTC,27.65261,41.70826,1/5/2017 0:00,29,0.5,146,4,3.4,0.1,1.9,2557.729545,3023.5,730.6,804.9,4219.2,1573.4,2123.1,6227.4,1497,1122.1,26.1,0.1,14.9,3,907.7,4.6,1780.00849
Hail - TVTC,27.65261,41.70826,1/9/2017 0:00,32.6,0.5,189,3.7,3,0.1,1.6,2557.729545,2359.7,188.9,529.1,5922.3,485,1459,6546,484.2,498.8,14.7,0.1,9.2,3,907.7,4.5,2382.47213
Hail - TVTC,27.65261,41.70826,1/10/2017 0:00,26.8,0.5,238,3.7,3.1,0.1,1.8,2557.729545,1668.9,287.7,487.2,6630.7,1154.2,1526.1,5714.3,859,528.5,16.8,0.1,14.4,3,909.5,4.5,2632.45664
Hail - TVTC,27.65261,41.70826,1/11/2017 0:00,19.1,0.5,220,4,3.5,0.1,1.8,2557.729545,1758.8,483.3,465.8,4498.5,1401.6,1916.2,4206.8,940.8,727.6,13.6,0.1,37.9,3,911.7,4.6,1878.630334
Hail - TVTC,27.65261,41.70826,1/3/2018 0:00,22.4,0.5,246,4,3.5,0.1,1.9,2557.729545,2453.4,104.6,766.3,5651.8,250,2121.9,6241.9,197.1,784.2,17.9,0.1,19.7,3,909.8,4.6,2288.169751
Hail - TVTC,27.65261,41.70826,1/4/2018 0:00,22.3,0.5,242,3.7,3.7,0.1,2.1,2557.729545,2866.1,113.8,778.6,5310.2,294.2,2406.3,6813.9,287.5,1089.7,25.3,0.1,31.2,3,907.1,4.5,2170.054571
Hail - TVTC,27.65261,41.70826,1/5/2018 0:00,27.9,0.5,313,4,3.5,0.1,2,2557.729545,3265.7,129.1,772.6,4853.3,248.3,2496,6997.7,249.8,1183,20,0.1,19.1,3,907,4.5,2007.302723
Hail - TVTC,27.65261,41.70826,1/6/2018 0:00,32.6,0.5,56,4,3.2,0.1,1.7,2557.729545,2404.7,127.4,869.3,7785.7,298.1,2051.8,8237.7,455.4,544.7,17.3,0.1,11.1,3,904.9,4.5,3045.470819
Hail - TVTC,27.65261,41.70826,1/7/2018 0:00,33.5,0.5,58,3.7,3,0.1,1.5,2557.729545,2293.6,82.9,619.6,7876,273,1363.6,8175.3,5249.6,320,13.6,0.1,11.3,3,903.1,4.5,3076.759977
Hail - TVTC,27.65261,41.70826,1/8/2018 0:00,32.9,0.5,65,3.7,3.1,0.1,1.5,2557.729545,2103.821875,394.7862069,753.3756466,5305.225564,969.9230934,1907.256391,5670.223118,831.2711828,624.7848387,12.8,0.1,13.3,3,904.3,4.5,2161.669295
Hail - TVTC,27.65261,41.70826,1/9/2018 0:00,33.6,0.6,207,4.3,2.7,0.1,1.5,2557.729545,2592.3,336,523.8,5069.1,931.9,1353.8,6236.9,883.1,543.7,16.3,0.1,10.2,3.5,907.7,5.2,2080.163698
Hail - TVTC,27.65261,41.70826,1/11/2018 0:00,16,0.5,236,3.7,3.4,0.1,1.8,2557.729545,1609.1,55,414.3,3496.3,194.4,2498.5,3453.8,129.7,1128.2,14.1,0.1,67.2,3,912,4.5,1527.168426
Hail - TVTC,27.65261,41.70826,1/12/2018 0:00,14.2,0.5,268,4,3.7,0.1,1.9,2557.729545,1358.8,48.5,441.3,5098.9,182.9,1991.5,3842,114.3,549.1,14.7,0.1,52.8,3,913.2,4.6,2093.527847
Hail - TVTC,27.65261,41.70826,1/1/2019 0:00,13.9,0.5,286,3.7,3.6,0.1,1.9,2557.729545,1815.2,72.7,587.9,3568,229.5,2573,3652.9,142.3,1022.1,14.7,0.1,39.3,3,911.7,4.5,1547.36225
Hail - TVTC,27.65261,41.70826,1/2/2019 0:00,13.5,0.5,263,4,3.5,0.1,1.9,2557.729545,1713.1,68,586.1,5424.7,231.7,2946.4,4848.6,165.9,1274.8,16.8,0.1,41.7,3,911.5,4.6,2208.119381
Hail - TVTC,27.65261,41.70826,1/3/2019 0:00,15.9,0.5,353,4,3.7,0.1,2.2,2557.729545,1872.9,106.1,895.2,7074.5,312.4,2811.8,6418.6,237.1,892.7,22.6,0.1,27.6,3,909.2,4.6,2792.663683
Hail - TVTC,27.65261,41.70826,1/4/2019 0:00,20.7,0.5,324,4,3.5,0.1,1.8,2557.729545,2247.6,525,800.5,6405.1,1234.1,2643.2,6834.9,1162.8,1297.5,18.6,0.1,23.6,3,908.6,4.6,2555.64108
Hail - TVTC,27.65261,41.70826,1/5/2019 0:00,29.3,0.5,259,4,3.5,0.1,1.9,2557.729545,2655.1,658.7,570.5,5407,1485.7,1716.7,6724.6,1504,921.9,21.6,0.1,14.8,3,907.8,4.6,2201.182008
Hail - TVTC,27.65261,41.70826,1/7/2019 0:00,33.7,0.5,86,4,3.1,0.1,1.4,2557.729545,1864.7,299.8,567.2,8552.2,1677.1,1417.6,8184,1555.7,549.2,14.1,0.1,10.2,3,903.2,4.5,3315.364254
Hail - TVTC,27.65261,41.70826,1/8/2019 0:00,33.2,0.5,77,4,3.3,0.1,1.6,2557.729545,1908.1,73.3,555,7915.6,273.6,1826.8,7644.2,231.9,672.2,20,0.1,11.1,3,904.4,4.5,3089.459065
Hail - TVTC,27.65261,41.70826,1/9/2019 0:00,33,0.5,275,4,3,0.1,1.6,2557.729545,2017.6,97.7,695.2,6718.7,230.9,1826.3,6659,195,560.9,14.9,0.1,11.4,3,906.6,4.5,2664.614981
Hail - TVTC,27.65261,41.70826,1/10/2019 0:00,27.4,0.5,266,3.7,2.8,0.1,1.4,2557.729545,1944.4,72.5,509.7,4869.2,212.2,1774.1,5007.4,150.1,660.8,19.2,0.1,24.9,3,909.9,4.5,2009.137419
Hail - TVTC,27.65261,41.70826,1/11/2019 0:00,18.1,0.5,260,4,3.3,0.1,1.8,2557.729545,1514.5,62.2,489.8,4990.9,223.9,2427.4,4172.4,134.7,900.4,13.1,0.1,44.6,3,911.9,4.6,2054.148488
Hail - TVTC,27.65261,41.70826,1/12/2019 0:00,13.8,0.5,334,4,3,0.1,1.7,2557.729545,973.4,45.7,366,6996.3,230,1472.9,4280.9,128.5,291.2,17.1,0.1,39.3,3,912,4.6,2763.876151
Hail - TVTC,27.65261,41.70826,1/1/2020 0:00,10.4,0.5,18,3.7,3.3,0.1,1.8,2557.729545,1023.4,309.1,404.2,7158.7,1643.1,2085.3,4555.6,971.8,688.6,14.9,0.1,36.5,3,912.6,4.5,2821.058821
Hail - TVTC,27.65261,41.70826,1/2/2020 0:00,13.9,0.5,340,4,3.7,0.1,2.1,2557.729545,1484.5,526.9,716.6,7092.4,1804.8,2330.4,5484.9,1194.5,619,18.1,0.1,33.9,3,911.9,4.6,2799.179281
Hail - TVTC,27.65261,41.70826,1/3/2020 0:00,18.4,0.5,341,3.7,4,0.1,2.2,2557.729545,2168,583.6,784.6,6380.4,1798.6,2565.3,6371.4,1385,1020.8,20.5,0.1,26.2,3,908.6,4.5,2546.775174
Hail - TVTC,27.65261,41.70826,1/4/2020 0:00,22.9,0.5,295,4,3.9,0.1,2.4,2557.729545,2498,679.9,752.6,6482.3,1764.5,2286.9,7199.2,1529.7,964.3,24.5,0.1,24.9,3,907.6,4.6,2584.486301
Hail - TVTC,27.65261,41.70826,1/5/2020 0:00,28.9,0.5,296,4,3.6,0.1,1.9,2557.729545,2969.7,737.3,677.7,5666.2,1422.9,1805.6,7321.9,1483.8,713.2,18.4,0.1,13.3,3,908.3,4.6,2294.590174
Hail - TVTC,27.65261,41.70826,1/9/2020 0:00,32.5,0.5,234,4,2.8,0.1,1.5,2557.729545,1980.6,516.1,495.7,7021.5,1657.1,1265.6,6805,1377.9,382.2,13.1,0.1,8.9,3,907.5,4.5,2771.882421
Hail - TVTC,27.65261,41.70826,1/10/2020 0:00,25.6,0.5,264,4,2.5,0,1.3,2557.729545,1173.5,299.7,264.1,8055.1,1657.3,718.8,5948.5,1173.1,283.5,12,0.1,11.7,3,911.6,4.6,3137.099052
Hail - TVTC,27.65261,41.70826,1/11/2020 0:00,18.9,0.5,293,4,3.4,0.1,1.9,2557.729545,1584.9,439.1,502.4,4907.3,1530,2054.9,4203.6,936.8,717.3,18.9,0.1,43.5,3,911.6,4.6,2024.487565
Hail - TVTC,27.65261,41.70826,1/12/2020 0:00,13.6,0.5,282,3.7,3.4,0.1,1.7,2557.729545,1356.6,389.9,500.4,4611.2,1478.4,2611.9,3597.5,834.6,1033.4,12.3,0.1,52,3,913.3,4.5,1919.722838
Hail - TVTC,27.65261,41.70826,1/1/2021 0:00,13,0.5,301,4,3.3,0.1,1.6,2557.729545,1441,406.6,534.3,5379,1623.1,2631.1,4205.5,956.2,946.3,13.9,0.1,43.9,3,913.5,4.6,2191.627307
Hail - TVTC,27.65261,41.70826,1/2/2021 0:00,14.5,0.5,311,4.1,3.7,0.1,1.9,2557.729545,1657.8,486.5,641.4,5456.1,1671.1,3084.1,4818.3,1138.2,1421.6,14.1,0.1,41.7,3.1,912.1,4.8,2219.350689
